borough,longitude,latitude
QUEENS,-73.85489261102316,40.78248031228739
QUEENS,-73.89386045158598,40.75528778868644
QUEENS,-73.81775077819175,40.71925356635326
QUEENS,-73.82470248869488,40.77163421976302
QUEENS,-73.86383157649665,40.77388735309459
QUEENS,-73.77923283107407,40.70606049715328
QUEENS,-73.76530406881702,40.596809821409344
QUEENS,-73.79907768721188,40.64234337903203
QUEENS,-73.78009651755542,40.76205295562828
QUEENS,-73.89379608151044,40.77604234899062
QUEENS,-73.8920573861947,40.73761212115608
QUEENS,-73.78386164489142,40.6767356273591
QUEENS,-73.75544124747417,40.672962849392455
QUEENS,-73.84063067677137,40.66897994133984
QUEENS,-73.83664190519029,40.657443351213736
QUEENS,-73.89309168215388,40.72787269328183
QUEENS,-73.79371466005516,40.78550700179859
QUEENS,-73.80020002517001,40.7556566075669
QUEENS,-73.76907993829957,40.68762385062499
QUEENS,-73.74960765052738,40.64863075608008
QUEENS,-73.73052945684267,40.6567925098767
QUEENS,-73.89829103404747,40.69454827902467
QUEENS,-73.76369323576141,40.606897083026304
QUEENS,-73.906483207708,40.7473625855884
QUEENS,-73.78062883010406,40.67980430238735
QUEENS,-73.83570113461697,40.730812040875406
QUEENS,-73.92114208877163,40.73544393541447
QUEENS,-73.82742485369864,40.65022728032688
QUEENS,-73.77253218299025,40.68782173059208
QUEENS,-73.74438768207196,40.75948751939688
QUEENS,-73.86438474067405,40.74063412966587
QUEENS,-73.85746871505164,40.69884561411285
QUEENS,-73.73580707123867,40.76396969592683
QUEENS,-73.85670148524557,40.75554851001323
QUEENS,-73.77014796845027,40.76430201885334
QUEENS,-73.8923429519301,40.74890298298834
QUEENS,-73.72501169770933,40.73843617444692
QUEENS,-73.75184476276408,40.710280026181074
QUEENS,-73.88579755545565,40.72458834938272
QUEENS,-73.88025109653785,40.77818324071994
QUEENS,-73.7937743214534,40.6221228180394
QUEENS,-73.90260454580155,40.76998371303049
QUEENS,-73.7283378213977,40.74784779251971
QUEENS,-73.77209226047002,40.68920126412776
QUEENS,-73.90322066954286,40.56071799344913
QUEENS,-73.78996762713662,40.70510512794964
QUEENS,-73.77561568231428,40.63122093871211
QUEENS,-73.88307789034005,40.69892204015728
QUEENS,-73.92182142512722,40.74366446736955
QUEENS,-73.82795701640863,40.70192424043897
QUEENS,-73.75686894009442,40.73890875372462
QUEENS,-73.74685894451467,40.75812699655306
QUEENS,-73.94398107219163,40.74076338184533
QUEENS,-73.80235197970663,40.67138933749483
QUEENS,-73.93432098857704,40.742629179398726
QUEENS,-73.81265693918623,40.68357389649983
QUEENS,-73.93397048507293,40.746136070308346
QUEENS,-73.80621817670952,40.76225714960981
QUEENS,-73.85379919105972,40.69693274417841
QUEENS,-73.84502973423653,40.71700563793687
QUEENS,-73.73631509140907,40.69975826942813
QUEENS,-73.8523652065762,40.79032762584268
QUEENS,-73.86570886430502,40.725891497752265
QUEENS,-73.89797337971073,40.78560807485351
QUEENS,-73.74453860789909,40.74730750824636
QUEENS,-73.89886311350695,40.70180778677701
QUEENS,-73.84196715355233,40.7874411995071
